Accuracy,Precision,Recall,F1 Score,Model
0.8100558659217877,0.8091625969233472,0.8100558659217877,0.8091929317716401,Logistic Regression
0.8212290502793296,0.8204500025626569,0.8212290502793296,0.8204168769615436,Random Forest
0.7094972067039106,0.7409543667206816,0.7094972067039106,0.6789406165942479,Neural Network
